date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
17/05/1999,1,1,1,2,1,2,2,2
18/05/1999,3,4,5,4,4,4,4,3
19/05/1999,3,3,2,1,2,2,3,3
20/05/1999,2,3,2,3,3,2,1,3
21/05/1999,3,3,1,1,2,3,2,2
22/05/1999,1,1,1,0,2,2,2,2
23/05/1999,3,2,2,4,4,2,2,1
24/05/1999,3,3,2,3,2,2,2,4
25/05/1999,5,4,4,4,3,2,2,3
26/05/1999,2,2,2,1,2,3,3,2
27/05/1999,2,3,3,2,2,3,3,3
28/05/1999,3,1,3,3,2,2,2,3
29/05/1999,2,1,0,1,2,3,3,1
30/05/1999,0,0,0,1,2,2,2,2
31/05/1999,2,1,0,1,2,2,2,2
01/06/1999,1,2,2,1,2,3,2,3
02/06/1999,3,2,0,3,2,2,2,4
03/06/1999,4,1,1,2,2,2,2,2
04/06/1999,1,2,3,2,2,3,2,3
05/06/1999,2,1,0,1,2,1,2,2
06/06/1999,1,1,1,1,2,2,1,0
07/06/1999,1,1,1,1,1,2,2,2
08/06/1999,2,3,4,3,3,4,3,2
09/06/1999,3,4,1,1,3,4,3,3
10/06/1999,3,2,2,1,2,2,3,2
11/06/1999,1,1,1,2,2,2,2,3
12/06/1999,3,3,1,1,1,2,1,2
13/06/1999,3,2,2,1,2,1,2,2
14/06/1999,1,1,2,2,1,1,1,1
15/06/1999,2,2,0,2,3,4,2,2
16/06/1999,1,1,2,3,2,2,2,2
17/06/1999,2,2,3,1,2,2,2,2
18/06/1999,1,2,2,2,2,2,2,3
19/06/1999,2,1,1,1,2,3,2,3
20/06/1999,1,1,0,1,2,2,2,1
21/06/1999,0,0,0,1,2,2,2,1
22/06/1999,1,0,1,1,1,2,2,2
23/06/1999,1,1,2,2,2,2,2,3
24/06/1999,2,1,2,2,2,2,2,2
25/06/1999,2,1,0,1,1,3,2,2
26/06/1999,2,3,4,4,4,3,4,3
27/06/1999,2,3,3,3,5,4,5,4
28/06/1999,2,6,5,3,3,3,3,3
29/06/1999,2,2,2,3,3,3,3,1
30/06/1999,1,1,1,1,2,2,2,2
01/07/1999,2,1,2,2,3,3,3,3
02/07/1999,4,3,5,4,3,4,4,5
03/07/1999,3,3,4,3,2,2,3,2
04/07/1999,1,0,0,1,1,2,2,1
05/07/1999,0,0,0,0,1,2,2,2
06/07/1999,2,2,3,2,2,3,3,3
07/07/1999,2,1,1,0,1,2,2,3
08/07/1999,2,2,1,3,3,2,3,2
09/07/1999,3,2,1,1,1,2,1,2
10/07/1999,1,1,1,1,2,2,3,2
11/07/1999,1,1,2,1,2,2,2,3
12/07/1999,3,4,4,3,3,2,3,2
13/07/1999,1,2,0,1,1,3,3,2
14/07/1999,2,0,1,2,2,1,3,3
15/07/1999,3,2,3,2,2,2,3,2
16/07/1999,2,1,1,2,2,2,2,2
17/07/1999,1,0,1,1,2,2,2,2
18/07/1999,1,1,1,1,2,2,1,2
19/07/1999,2,1,1,1,1,1,1,1
20/07/1999,1,1,1,1,3,3,2,2
21/07/1999,2,1,3,2,2,4,4,3
22/07/1999,3,4,5,4,4,4,4,3
